Observacion	Mejor Ajuste	Parametro
Obser_8_2	2461.55220947	Likelihood
Obser_8_3	-2.30852247185	a
Obser_8_3	37.4153656699	b
Obser_8_3	2394.42314551	Likelihood
Obser_8_4	-0.326176805013	a
Obser_8_4	10.6794616834	b
Obser_8_4	1814.43836957	Likelihood
Obser_8_5	0.0477838258685	a
Obser_8_5	-2.09530188912	b
Obser_8_5	2211.57428585	Likelihood
Obser_8_6	-0.28897945563	a
Obser_8_6	-9.02851209992	b
Obser_8_6	6396.66922529	Likelihood
Obser_8_7	0.31785491838	a
Obser_8_7	-14.1027508807	b
Obser_8_7	6695.51471913	Likelihood
Obser_8_8	0.290054251736	a
Obser_8_8	-6.93498017874	b
Obser_8_8	2160.3258874	Likelihood
Obser_8_9	-1.14165977206	a
Obser_8_9	7.86411205568	b
Obser_8_9	829.076027983	Likelihood
Obser_9_0	-3.77555309639	a
Obser_9_0	115.176842161	b
Obser_9_0	3446.1417559	Likelihood
Obser_9_1	-2.1748747587	a
Obser_9_1	90.6550698816	b
Obser_9_1	1487.42290606	Likelihood
Obser_9_2	-1.04043725121	a
Obser_9_2	71.4788199283	b
Obser_9_2	703.231432898	Likelihood
Obser_9_3	-1.09435131161	a
Obser_9_3	55.1635072106	b
Obser_9_3	1301.4860223	Likelihood
Obser_9_4	-0.573915433402	a
Obser_9_4	33.2296234717	b
Obser_9_4	1004.60850833	Likelihood
Obser_9_5	0.0916061668068	a
Obser_9_5	14.4876037405	b
Obser_9_5	676.212623863	Likelihood
Obser_9_6	0.19390329783	a
Obser_9_6	1.7782212806	b
Obser_9_6	2044.56727106	Likelihood
Obser_9_7	0.776803282561	a
Obser_9_7	-10.5980891201	b
Obser_9_7	5667.09199738	Likelihood
Obser_9_8	1.08611269171	a
Obser_9_8	-11.891089564	b
Obser_9_8	2913.06318718	Likelihood
Obser_9_9	-0.489866438423	a
Obser_9_9	3.68619247863	b
Obser_9_9	854.406846912	Likelihood
